Comment,Designator,Footprint,LCSC
8MHz,Y1,Crystal_SMD_5032-2Pin_5.0x3.2mm,C115962
100nF,"C10,C11,C12,C13,C14,C2,C4,C9",C_0402_1005Metric,C1525
20pF,"C5,C6",C_0603_1608Metric,C1653
TYPE-C-31-M-12,USB_C1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
100,"R7,R8,R9",R_0805_2012Metric,C17408
0,"R12,R13,R14,R15",R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C17477
10uF,"C1,C3",C_0603_1608Metric,C19702
1.5k,"R10,R5",R_0603_1608Metric,C22843
1M,R6,R_0603_1608Metric,C22935
green,"LED1,LED2",LED_0805_2012Metric,C2297
330,"R1,R2",R_0603_1608Metric,C23138
22,"R3,R4",R_0603_1608Metric,C23345
100k,"R17,R18",R_0603_1608Metric,C25803
1M,R11,R_0603_1608Metric,C269433
SW_Push,SW1,SW_SPST_EVPBF,C318888
AMS1117-3.3,U2,SOT-223-3_TabPin2,C6186
GD32F103C8T6,U1,LQFP-48_7x7mm_P0.5mm,C77994
