Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0603_1608Metric,77.0825,-61.54,180.0,top
C2,100nF,C_0402_1005Metric,77.555,-63.24,180.0,top
C3,10uF,C_0603_1608Metric,82.66,-72.61,-90.0,top
C4,100nF,C_0402_1005Metric,84.04,-72.76,-90.0,top
C5,20pF,C_0603_1608Metric,118.52,-73.24,-90.0,top
C6,20pF,C_0603_1608Metric,110.52,-73.24,-90.0,top
C9,100nF,C_0402_1005Metric,99.5,-74.3,-90.0,top
C10,100nF,C_0402_1005Metric,101.87,-60.84,90.0,top
C11,100nF,C_0402_1005Metric,113.8,-66.3,-90.0,top
C12,100nF,C_0402_1005Metric,108.02,-69.44,180.0,top
C13,100nF,C_0402_1005Metric,110.87,-56.74,0.0,top
C14,100nF,C_0402_1005Metric,105.87,-69.44,180.0,top
LED1,green,LED_0805_2012Metric,69.77,-51.74,-90.0,top
LED2,green,LED_0805_2012Metric,102.94,-74.98,90.0,top
R1,330,R_0603_1608Metric,77.07,-59.74,0.0,top
R2,330,R_0603_1608Metric,100.96,-74.84,-90.0,top
R3,22,R_0603_1608Metric,89.77,-59.6775,-90.0,top
R4,22,R_0603_1608Metric,86.97,-59.69,-90.0,top
R5,1.5k,R_0603_1608Metric,99.12,-64.94,0.0,top
R6,1M,R_0603_1608Metric,114.52,-74.24,180.0,top
R7,100,R_0805_2012Metric,190.76,-60.7,180.0,top
R8,100,R_0805_2012Metric,190.76,-62.73,180.0,top
R9,100,R_0805_2012Metric,190.76,-64.8,180.0,top
R10,1.5k,R_0603_1608Metric,99.12,-63.34,180.0,top
R11,1M,R_0603_1608Metric,92.67,-59.59,90.0,top
R12,0,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,194.27,-58.075,-90.0,top
R13,0,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,196.81,-58.1,-90.0,top
R14,0,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,199.35,-58.1,-90.0,top
R15,0,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,201.89,-58.045,-90.0,top
R17,100k,R_0603_1608Metric,99.12,-66.54,180.0,top
R18,100k,R_0603_1608Metric,99.12,-61.74,180.0,top
SW1,SW_Push,SW_SPST_EVPBF,100.86,-80.46,180.0,top
U1,GD32F103C8T6,LQFP-48_7x7mm_P0.5mm,108.27,-62.99,135.0,top
U2,AMS1117-3.3,SOT-223-3_TabPin2,82.56,-66.64,-90.0,top
Y1,8MHz,Crystal_SMD_5032-2Pin_5.0x3.2mm,114.52,-71.49,180.0,top
